id,year,title,p_painted,painted
861057,2021,Swim,0.2432,0
19286,1995,Leprechaun 3,0.4523,0
9902,2003,Wrong Turn,0.1394,0
605804,2020,The Wretched,0.0785,0
58431,2016,Pride and Prejudice and Zombies,0.0582,0
739990,2021,Nightbooks,0.2462,0
42941,2010,30 Days of Night: Dark Days,0.3006,0
732713,2020,Evil Eye,0.0269,0
320048,2015,Ratter,0.004,0
28355,2009,Case 39,0.0406,0
47044,1993,The Secret Life: Jeffrey Dahmer,0.1947,0
1923,1992,Twin Peaks: Fire Walk with Me,0.0276,0
525460,2018,Welcome Home,0.0112,0
22970,2012,The Cabin in the Woods,0.0644,0
945657,2022,Titanic 666,0.2147,0
431259,2017,Escape Room,0.2604,0
807356,2022,Watcher,0.0235,0
793967,2021,Phobias,0.0152,0
10166,1990,The Witches,0.9749,1
10586,1996,The Ghost and the Darkness,0.0881,0
2667,1999,The Blair Witch Project,0.1197,0
70112,2010,Dahmer vs. Gacy,0.3707,0
629015,2022,Shut In,0.0735,0
519337,2018,Tempus Tormentum,0.1484,0
94365,2015,The Human Centipede 3 (Final Sequence),0.0977,0
579,1978,Jaws 2,0.8298,1
1551,1990,Flatliners,0.0395,0
787009,2021,Stay Out of the Attic,0.4623,0
896448,2022,Beneath the Surface,0.3813,0
623034,2018,The Haunted,0.0893,0
11449,1979,The Amityville Horror,0.5073,1
362826,2018,Wildling,0.1082,0
458305,2019,Vivarium,0.1141,0
25239,1978,I Spit on Your Grave,0.0568,0
816952,2022,My Best Friend's Exorcism,0.2171,0
25769,2009,Carriers,0.0054,0
502416,2019,Ma,0.0103,0
526051,2018,Look Away,0.0181,0
288158,2014,The Woman in Black 2: Angel of Death,0.0413,0
839436,2021,Dragon Fury,0.7886,1
747,2004,Shaun of the Dead,0.3014,0
9678,2000,Little Nicky,0.1859,0
10242,1962,What Ever Happened to Baby Jane?,0.1869,0
801071,2022,The Jack in the Box: Awakening,0.0734,0
391262,2016,Curve,0.0746,0
41439,2010,Saw 3D,0.1169,0
48171,2011,The Rite,0.0168,0
157547,2013,Oculus,0.0077,0
9426,1986,The Fly,0.1598,0
839440,2021,Dinosaur Hotel,0.1486,0
333674,2016,Intruders,0.6427,1
21407,2009,The Collector,0.0672,0
11186,1990,Child's Play 2,0.3792,0
452507,2017,1922,0.0364,0
496704,2018,Tremors: A Cold Day in Hell,0.7853,1
353345,2015,The Exorcism of Molly Hartley,0.1537,0
44040,2010,Devil,0.0229,0
292280,2017,The Bye Bye Man,0.1179,0
424121,2018,Apostle,0.056,0
3021,2007,1408,0.1262,0
17692,1983,Jaws 3-D,0.4911,0
24150,2009,Halloween II,0.0647,0
25983,2009,The House of the Devil,0.2656,0
1933,2001,The Others,0.06,0
723072,2020,Host,0.0013,0
9406,1997,An American Werewolf in Paris,0.9458,1
524251,2019,I See You,0.0129,0
717728,2022,Jeepers Creepers: Reborn,0.4243,0
65055,2011,Shark Night 3D,0.1725,0
18392,1995,Embrace of the Vampire,0.0598,0
10906,1992,Pet Sematary II,0.1303,0
431075,2019,Polaroid,0.0017,0
63700,2010,My Babysitter's a Vampire,0.1407,0
40012,2006,Raising Jeffrey Dahmer,0.0548,0
28739,2009,Cabin Fever 2: Spring Fever,0.3019,0
523931,2018,Megalodon,0.2028,0
542224,2020,Gretel & Hansel,0.0126,0
11249,2004,Seed of Chucky,0.264,0
34004,2001,Children of the Living Dead,0.4015,0
927341,2022,Hunting Ava Bravo,0.0807,0
95993,2003,Demon Slayer,0.0285,0
505058,2018,Unfriended: Dark Web,0.2132,0
259072,2014,Wrong Turn 6: Last Resort,0.3696,0
564082,2018,30 Miles from Nowhere,0.1609,0
298312,2015,The Visit,0.0521,0
19994,2009,Jennifer's Body,0.0575,0
485415,2017,Day of the Dead: Bloodline,0.1973,0
343674,2017,Gerald's Game,0.1732,0
585216,2021,Escape Room: Tournament of Champions,0.0113,0
518158,2018,Leprechaun Returns,0.2145,0
18011,2000,Leprechaun in the Hood,0.3959,0
768447,2022,Motherly,0.016,0
49730,2011,Red Riding Hood,0.2675,0
777620,2021,Caged,0.0265,0
517764,2019,The Farm,0.1366,0
254474,2014,Zombeavers,0.4225,0
